ROWID,Country,State lgd code,State,Yearcode,Year,Custom hiring centers,"Hi-tech, high productive equipment hub",Farm machinery banks
178,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",10,12,
179,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",0,0,
180,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",100,0,
181,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",85,0,0
182,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",100,10,0
183,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",285,,100
184,India,23,Madhya Pradesh,2021,"Financial Year (Apr - Mar), 2021",90,,
185,India,24,Gujarat,2014,"Financial Year (Apr - Mar), 2014",10,2,5
186,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",4,1,3
187,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",0,0,
188,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",0,0,
189,India,24,Gujarat,2018,"Financial Year (Apr - Mar), 2018",0,0,
190,India,24,Gujarat,2019,"Financial Year (Apr - Mar), 2019",0,0,0
191,India,24,Gujarat,2020,"Financial Year (Apr - Mar), 2020",4,2,22
192,India,24,Gujarat,2021,"Financial Year (Apr - Mar), 2021",8,1,
193,India,27,Maharashtra,2014,"Financial Year (Apr - Mar), 2014",67,,
194,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",38,,
195,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",57,0,
196,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",63,0,
197,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",97,0,
198,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",95,0,0
199,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",360,,64
200,India,27,Maharashtra,2021,"Financial Year (Apr - Mar), 2021",,,
201,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",0,,
202,India,28,Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",,,20
203,India,28,Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",0,0,100
204,India,28,Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",275,0,600
205,India,28,Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",750,0,
206,India,28,Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",318,0,600
207,India,28,Andhra Pradesh,2020,"Financial Year (Apr - Mar), 2020",792,3,2108
208,India,28,Andhra Pradesh,2021,"Financial Year (Apr - Mar), 2021",525,34,
209,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",2,0,0
210,India,29,Karnataka,2015,"Financial Year (Apr - Mar), 2015",,,
211,India,29,Karnataka,2016,"Financial Year (Apr - Mar), 2016",0,6,
212,India,29,Karnataka,2017,"Financial Year (Apr - Mar), 2017",0,35,
213,India,29,Karnataka,2018,"Financial Year (Apr - Mar), 2018",0,100,
214,India,29,Karnataka,2019,"Financial Year (Apr - Mar), 2019",75,40,0
215,India,29,Karnataka,2020,"Financial Year (Apr - Mar), 2020",40,30,216
216,India,29,Karnataka,2021,"Financial Year (Apr - Mar), 2021",4,2,15
217,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",,,
218,India,30,Goa,2015,"Financial Year (Apr - Mar), 2015",,,
219,India,30,Goa,2016,"Financial Year (Apr - Mar), 2016",,,
220,India,30,Goa,2017,"Financial Year (Apr - Mar), 2017",,,
221,India,30,Goa,2018,"Financial Year (Apr - Mar), 2018",,,
222,India,30,Goa,2019,"Financial Year (Apr - Mar), 2019",,,
223,India,30,Goa,2020,"Financial Year (Apr - Mar), 2020",,,
224,India,30,Goa,2021,"Financial Year (Apr - Mar), 2021",,,
225,India,31,Lakshadweep,2014,"Financial Year (Apr - Mar), 2014",,,
226,India,31,Lakshadweep,2015,"Financial Year (Apr - Mar), 2015",,,
227,India,31,Lakshadweep,2016,"Financial Year (Apr - Mar), 2016",,,
228,India,31,Lakshadweep,2017,"Financial Year (Apr - Mar), 2017",,,
229,India,31,Lakshadweep,2018,"Financial Year (Apr - Mar), 2018",,,
230,India,31,Lakshadweep,2019,"Financial Year (Apr - Mar), 2019",,,
231,India,31,Lakshadweep,2020,"Financial Year (Apr - Mar), 2020",,,
232,India,31,Lakshadweep,2021,"Financial Year (Apr - Mar), 2021",,,
233,India,32,Kerala,2014,"Financial Year (Apr - Mar), 2014",15,,14
234,India,32,Kerala,2015,"Financial Year (Apr - Mar), 2015",,,
235,India,32,Kerala,2016,"Financial Year (Apr - Mar), 2016",3,0,4
236,India,32,Kerala,2017,"Financial Year (Apr - Mar), 2017",22,0,50
237,India,32,Kerala,2018,"Financial Year (Apr - Mar), 2018",29,0,100
238,India,32,Kerala,2019,"Financial Year (Apr - Mar), 2019",3,0,15
239,India,32,Kerala,2020,"Financial Year (Apr - Mar), 2020",35,,131
240,India,32,Kerala,2021,"Financial Year (Apr - Mar), 2021",,,58
241,India,33,Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",85,,
242,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",99,,
243,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",250,0,
244,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",340,0,200
245,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",560,0,560
246,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",185,10,240
247,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",86,6,320
248,India,33,Tamil Nadu,2021,"Financial Year (Apr - Mar), 2021",15,20,100
249,India,34,Puducherry,2014,"Financial Year (Apr - Mar), 2014",,,
250,India,34,Puducherry,2015,"Financial Year (Apr - Mar), 2015",,,
251,India,34,Puducherry,2016,"Financial Year (Apr - Mar), 2016",,,
252,India,34,Puducherry,2017,"Financial Year (Apr - Mar), 2017",,,
253,India,34,Puducherry,2018,"Financial Year (Apr - Mar), 2018",,,
254,India,34,Puducherry,2019,"Financial Year (Apr - Mar), 2019",10,,
255,India,34,Puducherry,2020,"Financial Year (Apr - Mar), 2020",,,
256,India,34,Puducherry,2021,"Financial Year (Apr - Mar), 2021",,,
257,India,35,Andaman And Nicobar Islands,2014,"Financial Year (Apr - Mar), 2014",663,14,436
258,India,35,Andaman And Nicobar Islands,2015,"Financial Year (Apr - Mar), 2015",268,13,218
259,India,35,Andaman And Nicobar Islands,2016,"Financial Year (Apr - Mar), 2016",1458,13,1877
260,India,35,Andaman And Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",1851,47,1852
261,India,35,Andaman And Nicobar Islands,2018,"Financial Year (Apr - Mar), 2018",3614,106,1469
262,India,35,Andaman And Nicobar Islands,2019,"Financial Year (Apr - Mar), 2019",2155,60,1964
263,India,35,Andaman And Nicobar Islands,2020,"Financial Year (Apr - Mar), 2020",3938,55,5024
264,India,35,Andaman And Nicobar Islands,2021,"Financial Year (Apr - Mar), 2021",1233,62,999
265,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",9,,
266,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",,,
267,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",10,0,
268,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",30,0,
269,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",0,0,
270,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",0,0,0
271,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",,,146
272,India,36,Telangana,2021,"Financial Year (Apr - Mar), 2021",,,
273,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",,,
274,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",,,
275,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",,,
276,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",,,
277,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",,,
278,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",,,
279,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",,,
280,India,37,Ladakh,2021,"Financial Year (Apr - Mar), 2021",,,
281,India,38,The Dadra And Nagar Haveli And Daman And Diu,2014,"Financial Year (Apr - Mar), 2014",,,
282,India,38,The Dadra And Nagar Haveli And Daman And Diu,2015,"Financial Year (Apr - Mar), 2015",,,
283,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Financial Year (Apr - Mar), 2016",,,
284,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Financial Year (Apr - Mar), 2017",,,
285,India,38,The Dadra And Nagar Haveli And Daman And Diu,2018,"Financial Year (Apr - Mar), 2018",,,
286,India,38,The Dadra And Nagar Haveli And Daman And Diu,2019,"Financial Year (Apr - Mar), 2019",,,
287,India,38,The Dadra And Nagar Haveli And Daman And Diu,2020,"Financial Year (Apr - Mar), 2020",,,
288,India,38,The Dadra And Nagar Haveli And Daman And Diu,2021,"Financial Year (Apr - Mar), 2021",,,
